x [Mpc],y [Mpc],z [Mpc],vx [km/s],vy [km/s],vz [km/s]
6.9684,0.053067,4.6535,-103.8,2.3202,-19.175
7.3614,0.40044,4.2286,-80.908,58.301,99.416
7.7112,0.33839,4.8123,-86.549,-27.878,97.47
7.886,0.21785,4.6363,-118.73,-49.801,135.54
7.4296,1.0596,3.6565,-183.56,-81.905,41.276
6.5549,1.063,3.5864,-118.97,98.285,71.906
6.0829,1.8402,3.6533,1.5378,70.627,52.72
6.376,1.1654,3.8736,-215.63,35.534,53.798
6.3312,0.82285,3.6146,-239.77,38.346,85.407
6.7942,1.7852,2.4714,-225.4,-55.96,24.588
6.7856,1.3151,1.5908,-179.19,28.746,-6.5717
6.675,1.1435,1.617,-214.62,42.034,43.935
6.0526,1.7994,0.19451,-278.47,38.422,-57.143
6.8484,0.66336,1.7941,-134.47,89.308,30.994
5.0141,0.18679,1.6753,-42.809,170.95,30.703
5.1331,1.4844,0.85993,-60.628,-33.351,-162.41
5.2377,1.7109,0.99175,-71.38,-52.086,-133.37
5.1425,1.644,0.91684,70.198,-46.746,-88.561
5.1284,1.6643,0.96885,19.023,-37.187,-219.35
5.1315,1.6152,0.92939,-145.42,-34.455,-222.49
5.2507,1.712,0.99274,-58.425,-207.02,-119.82
5.2963,1.8369,0.68927,-139.53,-127.99,-165.96
5.1254,1.8309,0.93737,-29.169,-67.226,-220.92
5.1529,1.7554,0.89784,63.019,-90.078,-90.66
5.1142,1.4016,1.7064,129.07,90.229,-54.467
4.6284,1.1756,1.4432,-18.235,206.21,-33.684
4.1141,1.7663,1.4079,241.33,-16.268,-91.223
4.2114,1.7538,1.2911,164.48,142.09,-104.51
4.1713,1.6211,1.2215,-91,-87.538,-102.93
4.3431,1.7234,1.0999,112.54,158.35,-87.891
4.6336,1.5334,0.97744,121.02,156.66,-69.494
4.8695,1.4874,0.98582,108.87,199.54,-62.57
4.0239,0.61695,0.74931,-16.16,218.64,3.2732
4.0563,0.76626,0.69853,30.337,225.11,-39.048
4.0391,0.91818,1.3659,137.16,121.29,-15.058
4.3052,0.78906,1.712,118.34,92.18,-67
4.8914,0.4279,1.7724,-34.692,185.73,20.039
4.9023,0.24828,1.6496,-46.164,154.76,44.033
4.9499,0.15419,1.7325,-25.865,196.4,-74.116
4.2075,0.35811,1.559,23.52,197.94,-21.103
4.698,0.61545,2.8652,161.71,147.24,-20.699
5.2295,0.13956,3.1549,-18.491,166.23,0.78975
5.3966,0.12487,3.0609,-22.988,175.92,11.312
5.0463,1.401,2.7878,181.61,76.12,32.701
5.3809,1.6398,2.3487,159.92,36.903,37.341
5.5057,1.8152,3.4883,-22.285,23.944,-86.862
5.5093,1.787,3.4995,-114.98,-56.045,-124.06
5.2249,1.4317,3.4128,55.448,-42.895,51.24
5.2598,1.4025,3.9459,-61.51,331.56,-46.302
5.2253,1.4992,3.981,-61.431,354.71,-135.83
5.2333,1.7028,3.8079,-13.654,439.22,-81.891
5.2554,1.6828,3.7714,125.94,411.17,-124.6
5.2743,1.97,3.71,62.148,-78.526,11.763
5.201,1.9683,3.761,-33.262,-215.34,190.61
5.1415,1.9942,3.7627,-131.94,-19.424,158.59
5.16,1.968,3.7842,15.989,-147.43,-618.82
5.0666,1.9879,3.8164,53.718,80.259,-275.83
5.0212,1.9914,3.8014,405.2,-25.946,-395.38
5.0209,1.924,3.6663,135.19,109.59,53.479
5.1258,1.9003,3.7215,-255.38,62.882,358.71
5.2241,1.9153,3.6429,-178.67,155.26,-206.03
5.0606,1.9996,3.5936,277.95,61.048,311.6
5.2583,1.972,3.4398,65.755,408.63,-84.328
5.4833,1.8663,3.2826,220.92,122.96,231.46
5.2231,1.7082,3.4311,-63.976,241.13,141.12
4.9144,1.9673,3.6278,-74.187,45.524,20.356
4.751,1.7803,3.5682,-126.95,304.08,166.8
4.9537,1.8998,3.6487,318.25,186.56,-191.52
4.7878,1.8783,3.8053,-330.46,181.98,-50.934
4.7075,1.737,3.9761,81.912,94.317,48.449
4.9892,1.287,3.0353,-22.734,-20.785,-8.542
4.3298,1.6716,2.5677,-181.79,58.311,78.412
4.637,1.4013,2.8593,93.506,253.82,56.328
4.6268,1.3918,2.8403,216.86,151.87,-0.75087
4.6032,1.375,2.7912,216.88,209.84,-83.384
4.6278,1.3421,2.958,130.62,217.77,-161.09
4.6047,1.2998,2.9709,337.19,204.8,-199.45
4.6047,1.3129,2.971,45.181,224.77,184.89
4.6015,1.3234,2.9518,73.353,76.139,42.758
4.7801,1.7641,3.0026,57.818,-79.606,-37.188
4.5895,1.5378,2.7362,133.29,112.24,55.106
4.241,2.144,2.3938,-108.77,55.996,39.019
4.6449,2.2343,2.2155,-156.06,-23.946,5.2187
4.586,2.1819,2.2494,-207.05,36.827,54.18
4.7272,2.0941,2.8365,-114.13,-49.602,-45.107
4.49,2.571,3.4932,164.38,-36.768,-24.502
4.8779,2.3031,3.5484,56.06,53.561,16.024
4.9888,2.4982,3.6694,-179.79,214.43,-183.36
4.6997,2.4102,3.8659,-127.04,123.2,-29.645
4.5796,2.4363,3.5751,42.255,-319.45,27.792
4.5815,2.0442,3.5289,-152.36,95.295,168.37
4.9933,2.0349,3.9073,-120.81,274.43,-148.65
4.9506,2.0127,3.5008,-37.153,-97.38,-148.06
4.9344,2.1944,3.281,180.59,-170.62,43.537
4.6107,2.4607,3.4384,151.99,-260.15,78.625
5.219,2.2178,3.034,194.45,-52.228,-56.348
5.1514,2.0957,3.0513,-58.193,-12.436,-34.691
5.4185,2.224,3.0154,123.41,-214.56,100.74
5.4339,2.2138,3.0104,32.309,0.27297,41.042
5.0501,2.4944,3.3582,5.2674,-43.845,-134.91
5.1046,2.2785,3.4882,-130.38,-180.31,-74.352
5.0915,2.257,3.4411,293.01,-319.84,-243.59
5.3546,2.3713,3.4372,-100.37,-66.702,-1.2643
5.2594,2.1597,3.3937,-87.954,162.62,-441.33
5.2602,2.2366,3.3626,-20.234,120.52,-261.07
5.3354,2.1145,3.3973,41.828,-73.144,-77.939
5.2767,2.0413,3.4813,185.55,-48.387,-143.8
5.2388,2.1916,3.4376,99.017,47.897,-98.163
5.192,2.1668,3.4772,-387.03,168.28,-395.83
5.1573,2.2145,3.3962,-72.88,38.44,351.17
5.133,2.2323,3.3928,-9.9175,82.01,-120.71
5.0953,2.0672,3.4053,51.19,233.61,-64.131
5.1073,2.101,3.4717,-257.42,-22.661,-24.043
5.0975,2.0881,3.4825,-77.62,-241.51,-9.6839
5.1055,2.1131,3.5183,325.29,-123.22,374
5.0298,2.1932,3.5043,-355.75,40.861,-78.453
5.0542,2.1436,3.6247,138,107.99,134.2
5.1222,2.1586,3.5145,445.85,305.18,-32.699
5.2372,2.1404,3.6162,68.776,178.07,-136.49
5.2278,2.0253,3.5366,329.58,-172.17,-16.351
5.1367,2.1286,3.5993,217.79,222.56,590.56
5.1638,2.1175,3.6298,-195.51,327.86,367.95
5.1347,2.0148,3.5666,287.4,437.85,-311.16
5.1658,2.0282,3.6099,-272.51,397.66,-62.739
5.2055,2.0747,3.6259,-812.25,-7.6871,-53.19
5.234,2.0939,3.6405,1.7768,-365.8,-344.6
5.238,2.0244,3.6766,108.57,-310.14,115.7
5.2059,2.0322,3.6756,-13.56,-552.57,-200.97
5.2152,2.0226,3.6841,431.64,-63.693,-152.61
5.1603,2.0642,3.6821,-740.88,26.207,-220.02
5.173,2.1142,3.6271,-48.214,183.21,-325.62
5.1764,2.069,3.6499,13.326,135.53,-427.95
5.1702,2.0876,3.6895,250.4,-273.46,279.66
5.18,2.0732,3.6786,-212.94,324.12,-139.38
5.1847,2.1128,3.6889,-32.662,-569.72,-279.27
5.1224,2.1028,3.6754,-149.64,-18.621,298.45
5.1207,2.1019,3.6965,-496.06,-352.87,332.51
5.1576,2.122,3.6944,-62.535,-290.09,-355.21
5.1593,2.1097,3.7385,-474.62,423.64,-42.5
5.1633,2.1289,3.7374,108.49,274.9,-273.62
5.1342,2.0475,3.698,-388.48,-251.37,253.94
5.2206,2.0937,3.7523,222.79,76.086,-54.044
5.2092,2.0804,3.7496,-430.09,408.16,-92.427
5.1972,2.0837,3.7468,-310.78,11.528,174.56
5.2057,2.1038,3.705,-160.28,119.37,53.088
5.2023,2.1213,3.6939,-291.21,72.706,-263.66
5.2203,2.1027,3.7124,-309.14,338.11,259.53
5.2269,2.0966,3.7116,233.63,-281.49,307.96
5.2123,2.1448,3.7538,-636.79,57.657,185.82
5.2047,2.1627,3.7133,46.839,445.04,118.91
5.2096,2.169,3.7032,-83.135,45.864,-464.88
5.2032,2.2351,3.7033,-424.97,-83.064,-419.9
5.2132,2.1945,3.6557,63.449,246.59,-8.7095
5.1869,2.1692,3.6878,-155.08,-168.76,127.7
5.1961,2.142,3.6838,-510.46,824.48,131.32
5.2089,2.1433,3.6753,-42.824,392.13,-399.88
5.179,2.1445,3.6375,44.28,-9.528,41.412
5.1796,2.1345,3.6688,325.23,-329.19,82.503
5.1575,2.1538,3.683,210.68,503.79,-6.6091
5.1656,2.1262,3.6807,-460.43,-246,-541.6
5.1582,2.1634,3.6784,-115.66,242.74,381.42
5.143,2.1719,3.66,-156.06,-179.18,-138.25
5.1537,2.1375,3.6873,137.29,348.45,197.76
5.1435,2.136,3.6667,-35.707,-244.06,207.73
5.1511,2.1558,3.6567,-149.17,-55.56,-32.025
5.1426,2.1992,3.6336,8.9072,289.75,-392.37
5.1291,2.2086,3.6948,-38.194,48.649,-222.75
5.1437,2.2244,3.7083,231.21,54.592,-360.53
5.1432,2.2031,3.754,-459.16,220.83,153.84
5.1307,2.1889,3.7453,190.41,52.36,-163.39
5.1251,2.1741,3.7373,-109.63,247.31,192.68
5.1591,2.1795,3.7121,46.465,300.22,38.191
5.1449,2.1363,3.7085,303.95,426.17,-146.34
5.1307,2.1371,3.7274,403.13,-155.98,-409.82
5.1173,2.1549,3.7344,42.566,-337.35,130.08
5.1073,2.1334,3.7384,-102.61,-37.126,282.69
5.0866,2.1818,3.699,87.24,178.68,125.13
5.0906,2.1324,3.6861,-155.14,121.16,-285.78
5.0825,2.1857,3.654,158.16,151.4,130.47
5.0636,2.1552,3.649,376.7,274.67,-89.259
5.1182,2.1147,3.6763,148.88,41.706,-229.47
5.0708,2.0992,3.7051,-79.004,-208.16,-282.48
5.0898,2.1068,3.7908,-11.771,-401.4,-440.76
5.0197,2.0374,3.8384,-34.694,-474.69,124.9
5.128,2.2178,3.7563,237.18,286.09,-387.84
5.1282,2.1711,3.7802,-188.06,-148.27,330.95
5.2171,2.1602,3.786,-210.93,250.67,305.68
5.2003,2.1481,3.7538,-243.2,-100.36,-296.67
5.2094,2.1973,3.8029,-185.02,-144.65,549.81
5.1989,2.2152,3.8597,143.88,-140.05,-116.13
5.1823,2.0562,3.9557,93.104,-4.5775,-161.99
5.2329,2.0816,3.8147,-134.08,28.827,-285.95
5.1501,2.1276,3.7703,62.763,-52.641,-165.2
5.1212,2.0833,3.7762,-347.63,-175.89,283.03
5.1564,2.0324,3.7794,73.062,-325.35,-75.195
5.1393,2.0479,3.775,-202.01,-532.52,34.334
5.1921,2.0203,3.7678,15.946,-165.97,-701.41
5.2469,2.0555,3.7978,19.731,39.405,-736.23
5.2707,2.1776,3.9208,-271.55,30.966,-32.266
5.2672,2.2179,3.7843,76.406,47.023,54.049
5.4965,2.2155,3.7542,-148.05,79.957,-302.98
5.4584,2.1057,3.9583,-251.55,109.26,3.2209
5.4866,2.1274,3.6156,-213.21,22.667,-4.5061
5.2797,2.0092,3.5553,-200.36,-225.33,-310.61
5.2763,2.0467,3.6384,-277.22,-61.289,217.56
5.3148,2.1158,3.7218,125.13,45.525,-263.68
5.2806,2.1169,3.6634,-92.342,-304.37,-137.94
5.3116,2.1637,3.6474,197.46,43.139,361.72
5.2809,2.1832,3.6592,-293.87,-72.846,-205.86
5.2545,2.1679,3.7098,59.958,-161.93,284.46
5.2527,2.1672,3.7116,-85.278,189.17,-34.327
5.3018,2.1485,3.7335,-47.613,-72.653,176.64
5.3236,2.1868,3.719,470.17,258.43,-197
5.3529,2.1582,3.5546,-193,176.75,-412.45
5.3205,2.1965,3.538,-58.685,-352.15,165.82
5.3826,2.2423,3.5168,100.13,-19.513,24.386
5.2608,2.3318,3.5188,-291.58,-356.57,-305.37
5.2873,2.2673,3.6118,43.157,244.85,80.031
5.2547,2.2987,3.7261,63.06,225.07,401.27
5.1352,2.4153,3.8035,-50.536,-288.25,-385.76
5.1977,2.3515,3.9072,299.15,-160.25,50.077
5.0415,2.2938,3.941,285.37,160.66,192.95
5.0025,2.2735,3.7172,392.34,-139.26,-204.73
5.0832,2.3294,3.6911,157.45,-480.55,-11.631
5.2431,2.3842,3.6076,-75.232,207.33,147.23
5.1728,2.3893,3.5413,250.72,375.3,-237.62
5.0211,2.3175,3.6039,55.687,-358.38,160.68
5.2383,2.5299,3.6625,8.5553,-238.87,199.35
5.2242,2.5463,3.7131,-200.74,-273.22,-192.38
5.213,2.7539,3.793,185.49,211.71,-88.051
5.4334,2.5047,3.9265,-63.69,-154.01,-150.1
5.3164,2.777,3.6064,172.81,-302.42,0.071017
5.1358,2.5941,3.2664,129.97,-80.739,-34.338
5.5831,2.5691,3.9481,-115.11,-153.38,-311.08
5.509,2.1132,3.8964,124.05,-209.14,108.81
5.6032,2.2108,3.8246,-196.38,-40.97,-100.17
5.6837,2.1324,3.9152,-251.75,-62.149,19.722
5.5646,2.3715,3.1578,-44.323,129.32,-66.994
5.7819,2.334,2.8005,-12.633,95.326,123.7
5.6726,2.1795,2.0311,-13.804,100.94,7.0007
5.4461,2.5747,2.4088,-232.93,-136.32,17.894
5.3792,2.7307,2.0426,130.88,-115.92,-47.48
5.5044,2.5711,2.2331,-253.92,-132.97,13.589
5.0029,3.558,3.0396,-147.99,-184.21,-1.4972
4.6492,3.1018,1.6101,104.61,-146.98,-144.7
4.745,3.054,1.5805,-71.142,-103.23,-88.177
4.7196,3.0918,1.5661,43.191,-305.28,-91.538
4.7188,3.0734,1.5565,-26.915,-113.08,-41.6
4.7101,3.0868,1.4753,80.446,-230.98,-158.68
4.5074,3.0464,0.31137,-60.582,37.823,-248.86
4.3679,2.6915,0.94985,65.843,-155.49,-145.31
4.2787,2.7284,0.47114,-75.078,-214.07,-225.54
4.2659,2.7315,0.047373,-79.249,-73.851,-247.26
4.4748,2.9891,0.3759,260.44,-111.66,-222.37
4.7919,2.1234,0.029828,-47.258,-25.974,-333.6
4.6206,2.1444,0.16785,-177.72,104.37,-283.18
4.081,2.2747,0.01892,-327.67,102.45,25.093
4.005,2.3338,0.039867,-236.29,19.66,-26.352
4.1812,2.3184,0.57537,33.086,265.62,-124.72
4.4807,2.2367,1.1143,-270.68,82.273,-146.89
4.326,2.133,1.0042,73.754,176.57,-116.31
4.4758,2.4686,1.0114,-256.63,36.7,-107.04
4.567,2.9186,1.3981,10.227,-120.98,-89.901
4.7506,2.7556,1.9999,-48.563,138.12,-3.6394
5.0508,2.2082,1.1582,-247.48,156.13,-66.044
5.6708,2.4988,0.49139,4.6822,197.96,-157.26
5.4968,2.3777,0.11615,-167.27,61.3,-229.52
5.2409,3.0047,0.10888,14.829,111.03,-356.62
5.059,2.672,0.34393,-61.147,107.5,-196.99
5.3336,2.9505,0.14557,-34.795,105.66,-200.94
5.2798,2.9811,0.11682,-61.26,153.49,-280.25
5.3506,2.9493,0.48753,-42.004,-175.41,-196.44
5.341,3.3865,1.673,16.463,-166.08,-111.36
6.383,2.0276,0.093271,-283.64,-27.812,-54.531
7.1733,2.9351,0.30964,-223.43,-68.432,-39.743
7.4968,3.0695,2.2833,-181.27,-77.641,0.44098
6.1162,2.2326,3.2098,-51.198,61.83,25.197
6.8274,5.072,3.2203,-145.25,-68.3,-2.7552
5.8249,4.6984,1.4545,-187.24,-100.66,-57.294
5.2785,4.2715,1.0029,-176.45,-128.14,-92.047
4.3077,5.6805,0.60811,90.203,-98.484,-278.67
4.1953,5.6224,0.55354,34.591,70.591,-185.54
4.2189,5.9439,0.27145,59.606,-173.95,-32.983
4.1781,5.7678,0.21065,-166,-158.26,-11.864
4.2396,5.7838,0.17141,-137.79,-42.569,9.7239
4.1143,5.838,0.20489,226.7,-20.989,-64.732
4.2595,5.7179,0.46159,88.959,-7.2385,-273.94
4.3623,5.6355,0.33401,-159.84,-179.95,-86.755
4.339,5.7373,0.37544,194.32,-88.327,77.76
4.379,5.6987,0.36411,81.008,-227.34,-205.02
4.3775,5.7028,0.31865,-66.876,-262.02,207.12
4.4205,5.6628,0.27919,105.28,-212.48,-169
4.4156,5.6803,0.34952,-124.05,-281.33,-93.885
4.3268,5.7326,0.21491,17.698,-123.62,-20.819
4.2981,5.7505,0.17124,126.21,-162.58,-198.1
4.3981,5.7284,0.21928,-106.03,-141.68,-355.1
4.2679,5.7935,0.14876,106.66,-41.768,-154.57
4.2813,5.7727,0.17082,-26.382,-219.6,235.88
4.3203,5.8073,0.23513,36.257,-85.085,28.264
4.3095,5.9098,0.16205,118.29,-23.672,-206.77
4.2486,5.9334,0.22688,-12.699,-191.76,-85.294
4.2574,5.9213,0.21709,26.036,-111.2,74.585
4.3374,5.8877,0.17976,218.91,48.165,-196.49
4.3268,5.9024,0.28542,300.45,-29.715,-70.549
4.2941,5.8511,0.25902,-14.143,-313.81,56.017
4.2718,5.8009,0.33552,-130.91,-208.78,-225.89
4.3034,5.7954,0.29213,180.7,-78.063,-330.42
4.3002,5.7947,0.29253,6.2291,14.626,233.76
4.3295,5.8127,0.27496,-103.01,-62.076,-277.93
4.3803,5.7555,0.4653,260.08,-74.386,-225.91
4.6771,5.6904,0.23878,-80.146,-92.825,-166.68
4.626,5.7298,0.34964,108.91,-218.25,-30.936
4.6477,5.6698,0.36832,133.31,-99.42,-33.389
4.7226,5.8962,0.63919,2.1705,-167.94,-172
4.2787,5.4654,0.76502,38.008,-15.011,-194.54
4.7364,4.1008,0.27746,109.82,-88.883,-118.73
4.6511,4.0721,0.27931,1.7418,-210.22,-192.22
4.371,4.2447,0.19629,202.73,-114.59,-146.99
4.9948,4.3415,2.3446,107.51,-97.061,-52.243
4.8354,5.8583,3.1602,67.412,-99.503,29.486
4.6296,5.6853,3.3574,-8.475,-85.127,19.407
4.554,5.6617,3.4534,-134.76,-71.904,-30.05
4.446,5.813,3.2752,18.225,-45.651,26.146
4.3408,5.8155,2.94,40.331,-68.482,-2.1057
4.6924,7.8389,3.6642,-90.42,-30.107,40.396
4.4191,7.7848,3.7659,-20.231,-89.872,48.544
